FCODE$,FEMID$,SITE$,Age,FSVLAFTER
,,OR,0.01,29.17
,,OR,0.01,29.17
,,OR,0.01,29.17
,,OR,0.01,29.17
,,OR,0.01,29.17
,,OR,0.01,29.17
,,OR,0.01,29.17
,,OR,0.01,29.17
,,OR,0.01,29.17
,,CP,0.01,29.17
,,CP,0.01,29.17
,,OR,0.01,29.18
,,OR,0.01,29.18
,,OR,0.01,29.18
,,OR,0.01,29.18
,,OR,0.01,29.18
,,OR,0.01,29.18
,,OR,0.01,29.18
,,OR,0.01,29.18
,,OR,0.01,29.18
,,OR,0.01,29.18
,,OR,0.01,29.18
,,CP,0.01,29.18
,,CP,0.01,29.18
,,OR,0.01,29.19
,,OR,0.01,29.19
,,OR,0.01,29.19
,,OR,0.01,29.19
,,OR,0.01,29.19
,,OR,0.01,29.19
,,OR,0.01,29.19
,,CP,0.01,29.19
,,CP,0.01,29.19
,,CP,0.01,29.19
,,CP,0.01,29.19
,,CP,0.01,29.19
,,OR,0.01,29.2
,,OR,0.01,29.2
,,OR,0.01,29.2
,,OR,0.01,29.2
,,OR,0.01,29.2
,,OR,0.01,29.2
,,OR,0.01,29.2
,,OR,0.01,29.2
,,CP,0.01,29.2
,,CP,0.01,29.2
,,CP,0.01,29.2
,,CP,0.01,29.2
,,CP,0.01,29.2
,,CP,0.01,29.2
,,OR,0.01,29.21
,,OR,0.01,29.21
,,OR,0.01,29.21
,,OR,0.01,29.21
,,OR,0.01,29.21
,,OR,0.01,29.21
,,OR,0.01,29.21
,,OR,0.01,29.21
,,OR,0.01,29.21
,,CP,0.01,29.21
,,CP,0.01,29.21
,,CP,0.01,29.21
,,CP,0.01,29.21
,,CP,0.01,29.21
,,OR,0.01,29.22
,,OR,0.01,29.22
,,OR,0.01,29.22
,,OR,0.01,29.22
,,OR,0.01,29.22
,,OR,0.01,29.22
,,OR,0.01,29.22
,,OR,0.01,29.22
,,CP,0.01,29.22
,,OR,0.01,29.23
,,OR,0.01,29.23
,,OR,0.01,29.23
,,OR,0.01,29.23
,,CP,0.01,29.23
,,CP,0.01,29.23
,,CP,0.01,29.23
,,CP,0.01,29.23
,,CP,0.01,29.23
,,CP,0.01,29.23
